id,name,task_description,area,budgeted_amount,status,asset_id,asset_type,fiscal_year,start_date,inactive,neighborhood
607553520,BOB O'CONNOR GOLF COURSE,Bob O'Connor Golf Course,Facility Improvement,200000,Planned,Schenley Park Golf Course Clubhouse,Facility,2018,2018-02-08,f,Squirrel Hill North
468982182,FACILITY IMPROVEMENTS,City-County Building - Council Chambers,Facility Improvement,25000,Completed,City-County Building,Facility,2017,2017-02-08,f,Central Business District
2108512192,FACILITY IMPROVEMENTS,City-County Building - Elevator #6,Facility Improvement,321000,Planned,City-County Building,Facility,2017,2017-02-08,f,Central Business District
1070701448,FACILITY IMPROVEMENTS,Schenley Ice Rink - Upper Plaza Restoration,Facility Improvement,60000,Completed,Schenley Park Skating Rink Building,Facility,2017,2017-02-08,f,Squirrel Hill South
405227559,FACILITY IMPROVEMENTS,Schenley Ice Rink - Rink Renovations Design,Facility Improvement,225000,In Progress,Schenley Park Skating Rink Building,Facility,2018,2018-02-08,f,Squirrel Hill South
2140666962,FACILITY IMPROVEMENTS,Olympia Park Building Phase II Renovation,Facility Improvement,250000,In Progress,Olympia Park Recreation Center,Facility,2018,2018-02-08,f,Mount Washington
547678139,PARK RECONSTRUCTION - REGIONAL ASSET DISTRICT PARKS,Schenley Park Chiller,Facility Improvement,125000,Planned,Schenley Park Skating Rink Building,Facility,2017,2017-02-08,f,Squirrel Hill South
1339602670,RECREATION AND SENIOR CENTERS,Phillips - HVAC,Facility Improvement,350000,Planned,Phillips Gym and Recreation Center,Facility,2017,2017-02-08,f,Carrick
606249647,COMPREHENSIVE PLAN,South Side Park Master Plan,Administration/Sub-Award,40000,In Progress,Southside Park,Park,2018,2018-02-08,f,South Side Slopes
2126010814,COMPREHENSIVE PLAN,South Side Park Master Plan,Administration/Sub-Award,40000,In Progress,Southside Park,Park,2018,2018-02-08,f,South Side Slopes
1967446712,PARK RECONSTRUCTION,McKinley Park Green Infrastructure and Recreation Project,Facility Improvement,243350,In Progress,McKinley Park,Park,2018,2018-04-04,f,Beltzhoover
613070006,PARK RECONSTRUCTION,McKinley Park Green Infrastructure and Recreation Project,Facility Improvement,437500,In Progress,McKinley Park,Park,2018,2018-04-04,f,Beltzhoover
381547049,PARK RECONSTRUCTION,Sidewalk  Repair - Brookline Memorial Park,Facility Improvement,42250,Completed,Brookline Memorial Park,Park,2017,2017-02-08,f,Brookline
1521673392,PARK RECONSTRUCTION,Niagara Park,Facility Improvement,12000,Completed,Niagara Park,Park,2017,2017-02-08,f,South Oakland
1354715656,PARK RECONSTRUCTION,Lewis Hockey Relocation to McBride,Facility Improvement,50000,In Progress,McBride Park,Park,2019,2019-03-26,f,Lincoln Place
2109434793,PARK RECONSTRUCTION,Phillips Park Master Plan,Facility Improvement,30000,Completed,Phillips Park,Park,2017,2017-02-08,f,Carrick
1900248863,PARK RECONSTRUCTION,Moore Park Recreation Center Entry Stair Replacement,Facility Improvement,20000,Completed,Moore Park,Park,2017,2017-02-08,f,Brookline
1879912404,PLAY AREA IMPROVEMENTS,New Safety Surface - Cowley Playground,Facility Improvement,61180,Completed,Cowley Playground,Playground,2018,2018-02-08,f,Troy Hill
1671050307,PLAY AREA IMPROVEMENTS,New Play Structure - Cowley Playground,Facility Improvement,70000,Completed,Cowley Playground,Playground,2018,2018-02-08,f,Troy Hill
758321611,PLAY AREA IMPROVEMENTS,Upgrade Play Structure - Mellon Park,Facility Improvement,12000,Completed,Mellon Playground,Playground,2017,2017-02-08,f,Shadyside
1286287105,PLAY AREA IMPROVEMENTS,ADA Accessibility - Townsend Park,Facility Improvement,137500,Planned,Townsend Playground,Playground,2018,2018-02-08,f,Elliott
1153310619,PLAY AREA IMPROVEMENTS,New Play Structure - Mellon Park,Facility Improvement,15000,Completed,Mellon Playground,Playground,2017,2017-02-08,f,Shadyside
1403308971,PLAY AREA IMPROVEMENTS,New Safety Surface - Mellon Park,Facility Improvement,119660,Completed,Mellon Playground,Playground,2017,2017-02-08,f,Shadyside
1620987369,PLAY AREA IMPROVEMENTS,Replace Parts - Herschel Playground,Facility Improvement,7000,Canceled,Herschel Playground,Playground,2017,2017-02-08,f,Elliott
1191864617,PLAY AREA IMPROVEMENTS,Paint Structure - Herschel Playground,Facility Improvement,15000,Canceled,Herschel Playground,Playground,2017,2017-02-08,f,Elliott
923739155,PLAY AREA IMPROVEMENTS,New Safety Surface - Herschel Playground,Facility Improvement,64434,Canceled,Herschel Playground,Playground,2017,2017-02-08,f,Elliott
742926184,PLAY AREA IMPROVEMENTS,New Safety Surface - Larimer Playground,Facility Improvement,67500,Completed,Larimer Playground,Playground,2018,2018-02-08,f,Larimer
47231291,PLAY AREA IMPROVEMENTS,New Play Structure - Larimer Playground,Facility Improvement,70000,Completed,Larimer Playground,Playground,2018,2018-02-08,f,Larimer
540856505,PLAY AREA IMPROVEMENTS,New Safety Surface - Leolyn Parklet,Facility Improvement,60000,Completed,Leolyn Playground,Playground,2018,2018-02-08,f,Carrick
1822145697,PLAY AREA IMPROVEMENTS,New Play Structure - Leolyn Parklet,Facility Improvement,70000,Completed,Leolyn Playground,Playground,2018,2018-02-08,f,Carrick
654962804,PLAY AREA IMPROVEMENTS,New Safety Surface - Magee Playground,Facility Improvement,52500,In Progress,Magee Playground,Playground,2019,2019-03-26,f,Greenfield
1072223121,PLAY AREA IMPROVEMENTS,New Play Structure - Magee Playground,Facility Improvement,70000,In Progress,Magee Playground,Playground,2019,2019-03-26,f,Greenfield
846408033,PLAY AREA IMPROVEMENTS,New Safety Surface - Stratmore Parklet,Facility Improvement,30000,Canceled,Joseph Kukuruda Playground,Playground,2017,2017-02-08,f,Crafton Heights
1485842438,PLAY AREA IMPROVEMENTS,New Play Structure - Stratmore Parklet,Facility Improvement,70000,Canceled,Joseph Kukuruda Playground,Playground,2017,2017-02-08,f,Crafton Heights
1419860924,WATER FEATURE UPGRADES,Add Spray Feature Sensor - Leslie,Facility Improvement,30000,Completed,Leslie Playground,Playground,2018,2018-02-08,f,Central Lawrenceville
1836580435,WATER FEATURE UPGRADES,Add Spray Feature Sensor - Enright,Facility Improvement,30000,Completed,Enright Playground,Playground,2018,2018-02-08,f,East Liberty
543360921,WATER FEATURE UPGRADES,Add Spray Feature Sensor - Frazier,Facility Improvement,30000,Planned,Frazier Playground,Playground,2018,2018-02-08,f,South Oakland
1009565403,PARK RECONSTRUCTION,Manchester Field Improvements,Facility Improvement,3000,Completed,Manchester,Playing Field,2017,2017-02-08,f,Manchester
1706386928,PARK RECONSTRUCTION,Moore Park Soccer Field Reseeding and Maintenance,Facility Improvement,30000,In Progress,Moore Field 1,Playing Field,2018,2018-02-08,f,Brookline
1817614256,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Moore Park,Facility Improvement,70000,In Progress,Moore Field 2,Playing Field,2018,2018-09-26,f,Brookline
1693386840,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Paul J. Sciullo II Memorial Park,Facility Improvement,35000,Completed,Officer Paul J. Sciullo II Memorial Field,Playing Field,2017,2017-02-08,f,Lower Lawrenceville
670505821,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - McGonigle Park,Facility Improvement,35000,Completed,McGonigle,Playing Field,2017,2017-02-08,f,Sheraden
1617882293,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Chartiers Park,Facility Improvement,35000,In Progress,Chartiers,Playing Field,2018,2018-09-26,f,Windgap
147153892,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Fineview Park,Facility Improvement,35000,In Progress,Fineview,Playing Field,2018,2018-09-26,f,Fineview
1748771286,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Mellon Park,Facility Improvement,35000,In Progress,Mellon Field 2,Playing Field,2018,2018-09-26,f,Shadyside
1081059875,SPORT FACILITY IMPROVEMENTS,Phase II Schenely Park Oval Turf Package,Facility Improvement,240000,Completed,Oval,Playing Field,2017,2017-02-08,f,Squirrel Hill South
55267138,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Frazier Park,Facility Improvement,35000,In Progress,Dan Marino,Playing Field,2018,2018-09-26,f,South Oakland
442224800,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Gardner,Facility Improvement,5200,Canceled,Gardner,Playing Field,2017,2017-02-08,f,Troy Hill
248108512,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Magee Playground,Facility Improvement,85000,Canceled,Magee Field 1,Playing Field,2017,2017-02-08,f,Greenfield
1442015202,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Spring Hill Park,Facility Improvement,35000,Completed,Spring Hill,Playing Field,2017,2017-02-08,f,Spring Hill-City View
462068230,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Volunteer's Field,Facility Improvement,65000,In Progress,Volunteers Field 4,Playing Field,2019,2019-03-26,f,Carrick
77586942,POOL REHABILITATION,Pool Liner - Sue Murray,Facility Improvement,55000,Completed,Sue Murray,Pool,2017,2017-02-08,f,Allegheny Center
979654971,POOL REHABILITATION,Relocate Filter Building Above Ground - Riverview,Facility Improvement,800000,Planned,Riverview,Pool,2017,2017-02-08,f,Perry North
918434085,POOL REHABILITATION,ADA Site Accessibility - Riverview,Facility Improvement,800000,Planned,Riverview,Pool,2017,2017-02-08,f,Perry North
1713472049,POOL REHABILITATION,Pool Liner - West Penn,Facility Improvement,55000,Completed,West Penn,Pool,2017,2017-02-08,f,Polish Hill
1617483728,AUDIBLE PEDESTRIAN AND TRAFFIC SIGNALS,Brownsville Road and Parkfield Street,Engineering and Construction,100000,In Progress,TS168,Signalized Intersection,2018,2018-02-08,f,Carrick
868104804,AUDIBLE PEDESTRIAN AND TRAFFIC SIGNALS,Walnut Street and South Aiken Avenue Traffic Signal Update,Engineering and Construction,200000,Completed,TS7,Signalized Intersection,2018,2018-01-16,f,Shadyside
439928329,BIKE INFRASTRUCTURE,Bike Facilities - Baum/Centre Crossing,Engineering and Construction,100000,Planned,TS216,Signalized Intersection,2017,2017-02-08,f,Shadyside
1806724539,PENNDOT LOCAL SHARE (TIP),Signal Replacement,Engineering and Construction,3000,Planned,TS267,Signalized Intersection,2017,2017-02-08,f,East Allegheny
168702050,STEP REPAIR AND REPLACEMENT,Carnahan Road/Banksville Steps,Engineering and Construction,125000,Planned,Carnahan Rd at Younger Ave from Banksville Ave,Step,2017,2017-02-08,f,Banksville
1274317060,STEP REPAIR AND REPLACEMENT,Lower Oakley Street Steps/Phase 2,Engineering and Construction,60000,Completed,Oakley Way from Joesphine St to McCord St,Step,2017,2017-02-08,f,South Side Slopes
1358827067,SLOPE FAILURE REMEDIATION,Baldauf Street Wall,Engineering and Construction,150000,Completed,Baldauf St,Retaining Wall,2017,2017-02-08,f,South Side Slopes
976733348,SLOPE FAILURE REMEDIATION,Brahm Street Wall,Engineering and Construction,400000,Completed,Brahm St,Retaining Wall,2017,2017-02-08,f,Spring Hill-City View
1734931717,ADA COMPLIANCE,Hearing Loops in Healthy Active Living Centers - Morningside,Administration/Sub-Award,8300,Planned,Morningside Senior Center,Facility,2017,2017-02-08,f,Morningside
537021270,ADA COMPLIANCE,Hearing Loops in Healthy Active Living Centers - Homewood,Administration/Sub-Award,8300,Planned,Homewood Senior Center,Facility,2017,2017-02-08,f,Homewood North
571915867,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Brashear Association (for Arlington Food Bank),Administration/Sub-Award,2500,In Progress,,Non-Asset,2018,2018-02-08,f,Allentown
2143189705,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Community Human Services,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Central Oakland
1364486196,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Emmaus Community of Pittsburgh,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,South Side Flats
548120448,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Community Human Services/Oakland Business Improvement District,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Central Oakland
1780500816,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Oakland Planning & Development Corp.,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Central Oakland
993396157,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,PA Cleanways of Allegheny County,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Perry South
1088735101,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Pennsylvania Resource Council,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,South Side Flats
1011353526,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Persad Center,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Upper Lawrenceville
1306020995,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Pittsburgh AIDS Task Force,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,East Liberty
151537107,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Shepherd Wellness Community,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-09,f,Bloomfield
1696718969,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Tree of Hope,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Squirrel Hill North
1995361909,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Vietnam Veterans Leadership,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Strip District
665932056,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Brashear Association,Administration/Sub-Award,13000,Planned,,Non-Asset,2017,2017-02-08,f,South Side Flats
765817022,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Hilltop Alliance,Administration/Sub-Award,13000,Planned,,Non-Asset,2017,2017-02-08,f,Allentown
1784673740,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Western Pennsylvania Conservancy,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Troy Hill
1707167348,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Brashear Association,Administration/Sub-Award,3000,Planned,,Non-Asset,2017,2017-02-08,f,South Side Flats
1503392411,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,PA Cleanways of Allegheny County,Administration/Sub-Award,3000,Planned,,Non-Asset,2017,2017-02-08,f,Perry South
855687619,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Angel's Place,Administration/Sub-Award,5000,Planned,,Non-Asset,2017,2017-02-08,f,Brookline
1521147785,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Pennsylvania Resources Council,Administration/Sub-Award,6000,Planned,,Non-Asset,2017,2017-02-08,f,South Side Flats
1101090684,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Economic Development South,Administration/Sub-Award,10000,Planned,,Non-Asset,2017,2017-02-08,f,
1101613909,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Saint Mark's Evangelical Lutheran / Brookline Meals on Wheels,Administration/Sub-Award,12000,In Progress,,Non-Asset,2018,2018-02-08,f,Brookline
1814653410,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Elizabeth Seton Center,Administration/Sub-Award,12000,Planned,,Non-Asset,2017,2017-02-08,f,Brookline
1863873342,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Community Human Services,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Central Oakland
1976647247,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Jewish Family and Childrens Services - Refugee Services,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Squirrel Hill South
64074019,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Jewish Family and Childrens Services - Career Development,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Squirrel Hill South
1106814282,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Pittsburgh AIDS Task Force,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,East Liberty
1433254678,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Reading is Fundamental of Pittsburgh,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Allegheny Center
229986650,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Young Men and Women's Hebrew Association / Irene Kauffman Centers / JCC of Greater Pittsburgh,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Squirrel Hill South
1707851509,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Jewish Family and Childrens Services - Squirrel Hill Community Food Pantry,Administration/Sub-Award,3500,Planned,,Non-Asset,2017,2017-02-08,f,Squirrel Hill South
279892637,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,SLB Radio Productions,Administration/Sub-Award,8000,Planned,,Non-Asset,2017,2017-02-08,f,Allegheny Center
442921157,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Hazelwood Initiative,Administration/Sub-Award,15000,Planned,,Non-Asset,2017,2017-02-08,f,Hazelwood
325570794,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Rebuilding Together Pittsburgh,Administration/Sub-Award,30000,Planned,,Non-Asset,2017,2017-02-08,f,Homewood South
1985413396,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Community Human Services,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Central Oakland
1650204036,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Lower Bloomfield Unity Council,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Bloomfield
1410397358,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Pittsburgh Project,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Perry South
524382614,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Bloomfield Garfield Corporation,Administration/Sub-Award,5000,Planned,,Non-Asset,2017,2017-02-08,f,Garfield
325898127,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Catholic Youth Association of Pittsburgh (Senior Center),Administration/Sub-Award,5000,In Progress,,Non-Asset,2018,2018-02-08,f,Polish Hill
702833766,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Shepherd Wellness Center,Administration/Sub-Award,5000,Planned,,Non-Asset,2017,2017-02-08,f,Bloomfield
1502385020,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Union Project,Administration/Sub-Award,5000,Planned,,Non-Asset,2017,2017-02-08,f,Highland Park
868580857,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Western Pennsylvania Conservancy,Administration/Sub-Award,5000,Planned,,Non-Asset,2017,2017-02-08,f,Troy Hill
1884392059,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Friendship Community Group,Administration/Sub-Award,7500,Planned,,Non-Asset,2017,2017-02-08,f,Bloomfield
517234150,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Lawrenceville Corporation,Administration/Sub-Award,15000,Planned,,Non-Asset,2017,2017-02-08,f,Central Lawrenceville
740358061,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Lawrenceville United,Administration/Sub-Award,15000,Planned,,Non-Asset,2017,2017-02-08,f,Central Lawrenceville
339535391,MAJOR DEVELOPMENTS,Acquisition - Larimer School,Neighborhood and Community Development,100000,In Progress,,Non-Asset,2018,2018-02-08,f,Larimer
1634559501,FACILITY IMPROVEMENTS,Fire Station 28 - Roof Replacement,Facility Improvement,300000,Completed,Firehouse 28,Roofing System,2017,2017-08-01,f,Beechview
1633549294,FACILITY IMPROVEMENTS,Fire Station 13 - Roof Replacement,Facility Improvement,200000,Completed,Firehouse 13,Roofing System,2017,2017-02-08,f,Hazelwood
1938294584,FACILITY IMPROVEMENTS,Medic 8 - Roof Replacement,Facility Improvement,125000,Completed,Medic 08 Asphalt Shingle,Roofing System,2017,2017-02-08,f,Allentown
1610380231,FACILITY IMPROVEMENTS,Fire Station 6 - Roof Replacement,Facility Improvement,250000,Completed,Firehouse 06,Roofing System,2017,2017-02-08,f,Lower Lawrenceville
1950145696,FACILITY IMPROVEMENTS,"Fire Station 26 - Roof Replacement, Interior Renovations",Facility Improvement,300000,Completed,Firehouse 26,Roofing System,2017,2017-03-27,f,Brookline
862962060,RECREATION AND SENIOR CENTERS,Brighton Heights - Roof,Facility Improvement,50000,Planned,B600 - Brighton Heights Senior Center Roof,Roofing System,2017,2017-02-08,f,Brighton Heights
909184333,BRIDGE REPAIRS,Columbus Ave Bridge wall repair,Engineering and Construction,50000,Planned,Manchester Park 1,Sidewalk,2017,2017-02-08,f,Manchester
247307022,PARK RECONSTRUCTION,Sidewalk  Repair - Armstrong Park,Facility Improvement,7500,Planned,Armstrong Park,Sidewalk,2017,2017-02-08,f,South Side Flats
1959071253,PARK RECONSTRUCTION,Sidewalk  Repair - McKinley Park,Facility Improvement,5000,Planned,Delmont Ave from Michigan St to Amesbury St,Sidewalk,2017,2017-02-08,f,Beltzhoover
166060304,PARK RECONSTRUCTION,Sidewalk  Repair - Baxter,Facility Improvement,26000,Planned,Baxter Park,Sidewalk,2017,2017-02-08,f,Homewood North
1382632327,PARK RECONSTRUCTION,Sidewalk Repair - Brighton Heights,Facility Improvement,10000,Planned,Brighton Heights Park 1,Sidewalk,2017,2017-02-08,f,Brighton Heights
1834771191,PARK RECONSTRUCTION,Sidewalk  Repair - Legion,Facility Improvement,5000,Planned,Legion Memorial Park,Sidewalk,2017,2017-02-08,f,Brighton Heights
1797061367,PARK RECONSTRUCTION,Sidewalk  Repair - McCandless Park,Facility Improvement,6000,Planned,McCandless Park,Sidewalk,2017,2017-02-08,f,Upper Lawrenceville
153276188,PARK RECONSTRUCTION,Sidewalk  Repair - Chartiers,Facility Improvement,50000,Completed,Chartiers Park,Sidewalk,2017,2017-02-08,f,Windgap
316110855,PARK RECONSTRUCTION,Sidewalk  Repair - Troy Hill Citizen's Park,Facility Improvement,5000,Canceled,Troy Hill Citizen's Park,Sidewalk,2017,2017-02-08,f,Troy Hill
2033384131,PARK RECONSTRUCTION,Sidewalk  Repair - Mellon Park,Facility Improvement,25000,Completed,Mellon Park 1,Sidewalk,2017,2017-02-08,f,Point Breeze
631727297,PARK RECONSTRUCTION,Sidewalk  Repair - Lewis Park,Facility Improvement,14000,Planned,Lewis Park,Sidewalk,2017,2017-02-08,f,Hazelwood
1291881316,PARK RECONSTRUCTION,Sidewalk  Repair - Burgwin Park,Facility Improvement,43000,Planned,Burgwin Park,Sidewalk,2017,2017-02-08,f,Hazelwood
1039507612,PARK RECONSTRUCTION,Naturalization - Lawn & Ophelia,Facility Improvement,85000,Planned,Lawn and Ophelia Park,Sidewalk,2017,2017-02-08,f,South Oakland
1603171534,PARK RECONSTRUCTION,Sidewalk  Repair - Robert E. Williams,Facility Improvement,20000,Planned,Robert E. Williams Park,Sidewalk,2017,2017-02-08,f,Upper Hill
724061875,PARK RECONSTRUCTION,Sidewalk  Repair - Allegheny Commons Park,Facility Improvement,13000,Planned,W North Ave from Brighton Rd to Arch St,Sidewalk,2017,2017-02-08,f,Allegheny Center
2121246508,PARK RECONSTRUCTION,Sidewalk  Repair - Osceola Park,Facility Improvement,5000,Planned,Osceola Park,Sidewalk,2017,2017-02-08,f,Bloomfield
1875168517,PARK RECONSTRUCTION,Sidewalk  Repair - Marmaduke,Facility Improvement,10000,Planned,Marmaduke Park,Sidewalk,2017,2017-02-08,f,Brighton Heights
1768521605,PARK RECONSTRUCTION,Sidewalk  Repair - McKnight,Facility Improvement,10000,Planned,McKnight Park,Sidewalk,2017,2017-02-08,f,Manchester
82939880,PARK RECONSTRUCTION,Sidewalk  Repair - Phillips Park,Facility Improvement,5000,Planned,Phillips Park,Sidewalk,2017,2017-02-08,f,Carrick
83776626,PARK RECONSTRUCTION,Sidewalk  Repair - Moore Park,Facility Improvement,48000,Completed,Moore Park 1,Sidewalk,2017,2017-02-08,f,Brookline
683373708,PARK RECONSTRUCTION,Sidewalk  Repair - Stratmore,Facility Improvement,32000,Canceled,Stratmore Park 1,Sidewalk,2017,2017-02-08,f,Crafton Heights
784101184,PARK RECONSTRUCTION,Sidewalk  Repair - Gladstone Park,Facility Improvement,9000,Planned,Gladstone Park,Sidewalk,2017,2017-02-08,f,Hazelwood
1141647367,STREETSCAPE AND INTERSECTION RECONSTRUCTION,Grandview Avenue Sidewalk and Curb Repair,Engineering and Construction,200000,Planned,Grandview Overlook,Sidewalk,2017,2017-02-08,f,Mount Washington
1709604652,BIKE INFRASTRUCTURE,Bike Lanes - 18th Street,Engineering and Construction,110000,Planned,,Non-Asset,2017,2017-03-01,f,South Side Slopes
1543255831,BIKE INFRASTRUCTURE,Bike Lanes - Ellsworth Avenue,Engineering and Construction,100000,Planned,,Non-Asset,2017,2017-03-01,f,Shadyside
631011957,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - Allegheny Commons Park Arch Street,Facility Improvement,91687.5,Completed,Allegheny Commons Basketball Court 1,Court,2017,2017-03-01,f,Allegheny Center
838094499,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Allegheny Commons Park Arch Street,Facility Improvement,15600,Planned,,Non-Asset,2017,2017-03-01,f,Allegheny Center
202348059,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Cowley,Facility Improvement,5200,Completed,,Non-Asset,2017,2017-03-01,f,Troy Hill
386400459,SPORT FACILITY IMPROVEMENTS,Court Activation Button - McBride Park,Facility Improvement,5200,Planned,,Non-Asset,2017,2017-03-01,f,Lincoln Place
